Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Date Read,Date Added,Bookshelves,Exclusive Shelf,Original Purchase Date
463318,Quincey Morris  Vampire,P.N. Elrod,Elrod  P.N.,empty,671319884,9780671319885,0,3.68,Baen Books,Mass Market Paperback,352,2001,empty,3/18/2017,to-read|own|horror|fiction,to-read,empty
15941148,Computer Organization and Architecture: Themes and Variations,Alan Clements,Clements  Alan,empty,1111987041,9781111987046,0,4.2,Cengage Learning,Hardcover,898,2013,empty,2/23/2017,own|computer-architecture|computer-science|reference-only,reference-only,empty
6000647,Foundations of Digital Signal Processing: Theory  Algorithms and Hardware Design,Patrick Gaydecki,Gaydecki  Patrick,empty,852964315,9780852964316,0,5,Institution of Engineering & Technology,Hardcover,484,2004,empty,2/21/2017,reference-only|own|signal-processing|electrical-engineering,reference-only,2/21/2017
8132371,Dead Men's Boots (Felix Castor  #3),Mike Carey,Carey  Mike,empty,446618721,9780446618724,0,4.03,Grand Central Publishing,Mass Market Paperback,527,2010,empty,2/14/2017,to-read|own|fiction|horror,to-read,2/14/2017
83800,Schaum's Outline of Computer Architecture,Nick   Carter,Carter  Nick,empty,007136207X,9780071362078,4,3.87,McGraw-Hill Companies,Paperback,306,2002,empty,2/13/2017,own|computer-architecture|computer-science|currently-reading,currently-reading,2/13/2017
2808554,Thicker Than Water (Felix Castor  #4),Mike Carey,Carey  Mike,empty,1841496561,9781841496566,0,4.15,Orbit,Mass Market Paperback,480,2009,empty,2/13/2017,to-read|own|fiction|horror,to-read,2/13/2017
25899336,When Breath Becomes Air,Paul Kalanithi,Kalanithi  Paul,Abraham Verghese,empty,empty,0,4.32,Random House,Kindle Edition,208,2016,empty,1/26/2017,to-read,to-read,empty
25499718,Children of Time,Adrian Tchaikovsky,Tchaikovsky  Adrian,empty,1447273281,9781447273288,0,4.3,PanMacmillan,Hardcover,600,2015,empty,1/25/2017,to-read,to-read,empty
15861819,Linear Algebra with Applications,Jeffrey Holt,Holt  Jeffrey,empty,716786672,9780716786672,0,3,W. H. Freeman,Hardcover,509,2012,empty,1/18/2017,reference-only|own|mathematics|linear-algebra,reference-only,1/18/2017
6430718,Vicious Circle (Felix Castor  #2),Mike Carey,Carey  Mike,empty,446618713,9780446618717,5,3.98,Orbit,Mass Market Paperback,549,2009,2/2/2017,1/16/2017,own|horror|fiction,read,1/16/2017
1811543,Magic Burns (Kate Daniels  #2),Ilona Andrews,Andrews  Ilona,empty,441015832,9780441015832,0,4.33,Penguin,Mass Market Paperback,260,2008,empty,1/9/2017,to-read|own|fiction|fantasy,to-read,empty
20159715,Raspberry Pi Assembly Language Raspbian Beginners: Hands on Guide,Bruce Smith,Smith  Bruce,empty,1492135283,9781492135289,5,4.5,Createspace Independent Publishing Platform,Paperback,266,2013,empty,1/9/2017,own|computer-science|programming-assembly|computer-architecture|currently-reading,currently-reading,1/9/2017
26082188,The Dispatcher,John Scalzi,Scalzi  John,Zachary Quinto,empty,empty,0,4.02,Audible Studios,Audible Audio,3,2016,empty,1/8/2017,to-read|do_not_own|fiction|sci-fi,to-read,empty
6479550,Magic Bleeds (Kate Daniels  #4),Ilona Andrews,Andrews  Ilona,empty,441018521,9780441018529,0,4.46,Ace,Mass Market Paperback,349,2010,empty,12/28/2016,to-read|own|fiction|fantasy,to-read,12/28/2016
26171659,The Aeronaut's Windlass (The Cinder Spires  #1),Jim Butcher,Butcher  Jim,empty,356503658,9780356503653,0,4.18,Orbit,Hardcover,630,2015,empty,12/28/2016,to-read|own|fiction|fantasy,to-read,12/28/2016
20454635,The Last American Vampire,Seth Grahame-Smith,Grahame-Smith  Seth,empty,145550212X,9781455502127,0,3.97,Grand Central Publishing,Hardcover,399,2015,empty,12/28/2016,to-read|own|fiction|horror,to-read,12/28/2016
30189221,Computer Organization and Design: The Hardware Software Interface: ARM Edition (The Morgan Kaufmann Series in Computer Architecture and Design),David A. Patterson,Patterson  David A.,John L. Hennessy,empty,empty,2,3.67,Morgan Kaufmann,Kindle Edition,720,2016,empty,12/23/2016,own|computer-architecture|computer-science|currently-reading,currently-reading,10/18/2016
81852,Core Java 2  Volume I--Fundamentals (Core Series),Cay S. Horstmann,Horstmann  Cay S.,Gary Cornell,131482025,9780131482029,0,3.85,Prentice Hall,Paperback,784,2004,empty,12/15/2016,to-read|programming-java|own|computer-science,to-read,12/15/2016
22055262,A Darker Shade of Magic (Shades of Magic  #1),V.E. Schwab,Schwab  V.E.,Victoria Schwab,765376458,9780765376459,0,4.06,Tor Books,Hardcover,400,2015,empty,11/30/2016,to-read|do_not_own|fiction|fantasy,to-read,empty
47241,Tinker (Elfhome  #1),Wen Spencer,Spencer  Wen,empty,743498712,9780743498715,0,4.08,Baen,Paperback,448,2004,empty,11/25/2016,to-read|do_not_own|fantasy|fiction,to-read,empty
32440502,Junkyard Druid (Colin McCool #1),M.D. Massey,Massey  M.D.,empty,empty,empty,0,3.95,Modern Digital Publishing,Kindle Edition,324,2016,empty,11/25/2016,to-read|do_not_own|fantasy|fiction,to-read,empty
29989358,Devil's Due (Thomas Caine #0.5),Andrew   Warren,Warren  Andrew,empty,empty,empty,0,3.97,Andrew Warren Books,Kindle Edition,122,2016,empty,11/23/2016,to-read|do_not_own|fiction,to-read,empty
4345498,Magic Strikes (Kate Daniels  #3),Ilona Andrews,Andrews  Ilona,empty,441017029,9780441017027,0,4.44,Ace,Mass Market Paperback,310,2009,empty,11/9/2016,to-read|own|fiction|fantasy,to-read,11/9/2016
3234442,Digital Signal Processing,William D. Stanley,Stanley  William D.,James Dougherty,083591321X,9780835913218,0,4,Reston Pub Co,Hardcover,514,1983,empty,9/22/2016,own|signal-processing|electrical-engineering|reference-only,reference-only,9/22/2016
27161148,The Eternal World,Christopher Farnsworth,Farnsworth  Christopher,empty,62282948,9780062282941,0,3.73,William Morrow,Paperback,464,2016,empty,9/16/2016,to-read|own|fiction|horror,to-read,empty
23282183,The Entropy of Bones,Ayize Jama-Everett,Jama-Everett  Ayize,empty,1618731033,9781618731036,0,3.88,Small Beer Press,Paperback,224,2015,empty,9/16/2016,to-read|own|fiction|superpowers,to-read,empty
20706317,The First Fifteen Lives of Harry August,Claire North,North  Claire,empty,316399620,9780316399623,0,4.04,Redhook,Paperback,405,2014,empty,9/16/2016,to-read|own|fiction,to-read,9/16/2016
1292831,The Dark Sleep (Vampire Files  #8),P.N. Elrod,Elrod  P.N.,empty,441005918,9780441005918,4,4.05,Ace Hardcover,Hardcover,359,1999,10/4/2016,9/16/2016,own|fiction|horror,read,9/16/2016
1523695,A Chill in the Blood (Vampire Files  #7),P.N. Elrod,Elrod  P.N.,empty,441005012,9780441005017,5,3.99,Ace Hardcover,Hardcover,empty,1998,9/23/2016,9/16/2016,own|fiction|horror,read,9/16/2016
1818103,Cold Streets (Vampire Files  #10),P.N. Elrod,Elrod  P.N.,empty,441010091,9780441010097,0,4.06,Ace Hardcover,Hardcover,empty,2003,empty,9/13/2016,to-read|own|fiction|sci-fi,to-read,9/13/2016
1292829,Lady Crymsyn (Vampire Files  #9),P.N. Elrod,Elrod  P.N.,empty,441007244,9780441007240,0,4.05,Ace Hardcover,Hardcover,410,2000,empty,9/6/2016,own|fiction|sci-fi|to-read,to-read,9/6/2016
968907,Nightwings,Robert Silverberg,Silverberg  Robert,empty,380414678,9780380414673,0,3.74,Avon,Mass Market Paperback,190,1979,empty,9/4/2016,to-read|own|fiction|sci-fi,to-read,9/4/2016
6693106,To Live Again,Robert Silverberg,Silverberg  Robert,empty,empty,empty,0,3.73,Dell,Mass Market Paperback,207,1971,empty,9/4/2016,to-read|own|fiction|sci-fi,to-read,9/4/2016
449344,World's Fair 1992 (Regan  #2),Robert Silverberg,Silverberg  Robert,empty,044190923X,9780441909230,0,3.26,Ace,Paperback,256,1982,empty,9/4/2016,to-read|own|fiction|sci-fi,to-read,9/4/2016
18778264,The Disestablishment of Paradise,Phillip Mann,Mann  Phillip,empty,575132639,9780575132634,0,3.14,Gollancz,Paperback,516,2014,empty,9/4/2016,to-read|own|fiction|sci-fi,to-read,9/4/2016
20519000,Lowball (Wild Cards  #22),George R.R. Martin,Martin  George R.R.,Melinda M. Snodgrass,765331950,9780765331953,0,3.79,Tor Books,Hardcover,368,2014,empty,9/4/2016,to-read|own|fiction|sci-fi,to-read,9/4/2016
11714710,The Vampire Files  Volume Five,P.N. Elrod,Elrod  P.N.,empty,193700712X,9781937007126,0,4.35,Ace,Paperback,576,2012,empty,8/31/2016,to-read|own|fiction|horror,to-read,8/31/2016
1028366,2000 Solved Problems in Discrete Mathematics,Seymour Lipschutz,Lipschutz  Seymour,empty,70380317,9780070380318,0,4.24,McGraw-Hill Education,Paperback,432,1991,empty,8/31/2016,own|reference-only|mathematics|discrete-mathematics,reference-only,8/31/2016
9669552,Fort Freak (Wild Cards  #21),George R.R. Martin,Martin  George R.R.,Stephen Leigh  John J.  Miller  Victor Milán  Ty Franck  Mary Anne Mohanraj  Melinda M. Snodgrass  Cherie Priest  David Anthony Durham  Paul Cornell  Kevin Andrew Murphy,765325705,9780765325709,0,3.84,Tor Books,Hardcover,464,2011,empty,8/19/2016,to-read|own|fiction|sci-fi,to-read,empty
815554,A Canticle for Leibowitz,Walter M. Miller Jr.,Jr.  Walter M. Miller,empty,553257498,9780553257496,0,3.97,Bantam Books,Mass Market Paperback,288,1984,empty,8/19/2016,to-read|own|fiction|sci-fi,to-read,empty
290434,The Vampire Files  Volume 2 (Vampire Files  #4-6),P.N. Elrod,Elrod  P.N.,empty,441014275,9780441014279,5,4.06,Ace,Paperback,496,2006,8/31/2016,8/12/2016,own|fiction|horror,read,8/12/2016
1389070,Cooking Light Annual Recipes 2000,Cooking Light Magazine,Magazine  Cooking Light,empty,848719107,9780848719104,0,4.07,Oxmoor House,Hardcover,368,1999,empty,7/16/2016,own|cooking|reference-only,reference-only,empty
1975576,The cook's encyclopedia of cookies,Hilaire Walden,Walden  Hilaire,empty,760730954,9780760730959,0,4.33,Barnes & Noble Books,Unknown Binding,256,2002,empty,7/16/2016,own|cooking|reference-only,reference-only,empty
22826126,Seveneves,Neal Stephenson,Stephenson  Neal,empty,62190377,9780062190376,4,3.98,Harper Collins,Hardcover,867,2015,7/23/2016,7/6/2016,do_not_own|fiction|sci-fi,read,empty
3744307,The Accidental Time Machine,Joe Haldeman,Haldeman  Joe,empty,441016162,9780441016167,4,3.68,Ace Books,Mass Market Paperback,275,2008,7/2/2016,6/29/2016,own|fiction|sci-fi,read,6/29/2016
1710649,Discrete Mathematics and Its Applications,Kenneth H. Rosen,Rosen  Kenneth H.,empty,73229725,9780073229720,0,3.88,McGraw-Hill Science/Engineering/Math,Hardcover,1008,2006,empty,6/16/2016,reference-only|own|mathematics|discrete-mathematics,reference-only,6/16/2016
1273860,Dark Matter: The Private Life of Sir Isaac Newton,Philip Kerr,Kerr  Philip,empty,609609815,9780609609811,3,3.37,Crown,Hardcover,345,2002,8/5/2016,6/13/2016,fiction|do_not_own,read,empty
1538483,Hot Sky at Midnight,Robert Silverberg,Silverberg  Robert,empty,055356935X,9780553569353,0,3.29,Spectra,Mass Market Paperback,400,1995,empty,6/2/2016,to-read|own|sci-fi|fiction,to-read,6/2/2016
519843,Beyond the Safe Zone,Robert Silverberg,Silverberg  Robert,empty,446301736,9780446301732,0,3.8,Warner Books (NY),Paperback,565,1987,empty,6/2/2016,to-read|own|sci-fi|fiction,to-read,6/2/2016
3379505,Lord Valentine's Castle,Robert Silverberg,Silverberg  Robert,empty,553274368,9780553274363,0,3.87,Spectra,Mass Market Paperback,450,1984,empty,6/2/2016,to-read|own|sci-fi|fiction,to-read,6/2/2016
17332343,The Antidote: Happiness for People Who Can't Stand Positive Thinking,Oliver Burkeman,Burkeman  Oliver,empty,865478015,9780865478015,3,4.06,Farrar  Straus and Giroux,Paperback,235,2013,empty,6/1/2016,own|self-help|currently-reading,currently-reading,empty
25778098,The 5 A.M. Miracle: Dominate Your Day Before Breakfast,Jeff  Sanders,Sanders  Jeff,empty,1612435009,9781612435008,4,3.99,Ulysses Press,Paperback,156,2015,6/10/2016,6/1/2016,self-help|own,read,empty
7596773,Applied Combinatorics,Fred S. Roberts,Roberts  Fred S.,Barry Tesman,1420099825,9781420099829,0,4.06,Chapman & Hall/CRC,Hardcover,860,2009,empty,6/1/2016,combinatorics|discrete-mathematics|own|reference-only,reference-only,6/1/2016
1950313,Recalled To Life,Robert Silverberg,Silverberg  Robert,empty,586041931,9780586041932,0,3.53,Panther,Mass Market Paperback,188,1974,empty,5/30/2016,to-read|own|fiction|sci-fi,to-read,5/30/2016
872778,Hawksbill Station,Robert Silverberg,Silverberg  Robert,empty,425036790,9780425036792,0,3.65,Berkley (NYC),Paperback,185,1978,empty,5/30/2016,to-read|own|sci-fi|fiction,to-read,5/30/2016
26780372,Practical VIM: Edit Text at the Speed of Thought,Drew Neil,Neil  Drew,empty,1680501275,9781680501278,4,4.49,Pragmatic Bookshelf,Paperback,320,2015,empty,5/25/2016,do_not_own|computer-science|unix-linux|to-read,to-read,empty
1096053,Patterns of Software: Tales from the Software Community,Richard P. Gabriel,Gabriel  Richard P.,empty,195121236,9780195121230,0,3.69,Oxford University Press  USA,Paperback,256,1998,empty,5/23/2016,to-read|own|computer-science,to-read,empty
558193,Set Theory and Logic (Dover Books on Mathematics),Robert Roth Stoll,Stoll  Robert Roth,empty,486638294,9780486638294,0,3.97,Dover Publications Inc.,Paperback,496,1980,empty,5/17/2016,own|computer-science|discrete-mathematics|reference-only,reference-only,5/17/2016
4987462,Hands-On Networking with Internet Technologies,Douglas E. Comer,Comer  Douglas E.,empty,131443100,9780131443105,0,3.5,Prentice Hall,Paperback,197,2003,empty,5/13/2016,own|electrical-engineering|networking|reference-only,reference-only,empty
239240,UNIX Network Programming  Volume 1: The Sockets Networking API,W. Richard Stevens,Stevens  W. Richard,Bill Fenner  Andrew M. Rudoff,131411551,76092025917,0,4.37,Addison-Wesley Professional,Hardcover,991,2003,empty,5/13/2016,own|computer-science|networking|unix-linux|reference-only,reference-only,empty
21275344,An Introduction to the Analysis and Processing of Signals,Paul A. Lynn,Lynn  Paul A.,empty,333488873,9780333488874,0,4.5,Palgrave Macmillan,Paperback,277,1989,empty,5/13/2016,reference-only|own|signal-processing|electrical-engineering,reference-only,empty
946130,Computer Networks,Andrew S. Tanenbaum,Tanenbaum  Andrew S.,empty,133499456,9780133499452,0,4.02,Prentice Hall PTR,Hardcover,813,1996,empty,5/7/2016,own|networking|computer-science|reference-only,reference-only,empty
28636661,The Practice of Computing Using Python,William F. Punch,Punch  William F.,Richard Enbody,134379764,9780134379760,0,3.73,Pearson,Paperback,912,2016,empty,4/23/2016,own|programming-python|computer-science|reference-only,reference-only,4/23/2016
18098971,Mathematical Structures for Computer Science,Judith L Gersting,Gersting  Judith L,empty,1429215100,9781429215107,0,0,W. H. Freeman,Hardcover,784,2014,empty,4/18/2016,own|discrete-mathematics|mathematics|reference-only,reference-only,empty
5623763,Digital Signal Processing,James D. Broesch,Broesch  James D.,William Walker  Dag Stranneby,750689765,9780750689762,5,5,Newnes,Paperback,155,2008,3/16/2017,3/21/2016,electrical-engineering|signal-processing|own,read,3/21/2016
13538068,Mindfulness: An Eight-Week Plan for Finding Peace in a Frantic World,Mark         Williams,Williams  Mark,Danny Penman  Jon Kabat-Zinn,1609618955,9781609618957,4,4.12,Rodale Books,Paperback,288,2012,empty,1/7/2016,own|self-help|currently-reading,currently-reading,1/7/2016
27126867,Elements of Programming Interviews in Java: The Insiders' Guide,Adnan Aziz,Aziz  Adnan,Tsung-Hsien Lee  Amit Prakash,1517435803,9781517435806,0,4.7,Createspace Independent Publishing Platform,Paperback,544,2015,empty,12/21/2015,own|computer-science|algorithms-data-structures|reference-only,reference-only,12/21/2015
25707092,Cracking the Coding Interview: 189 Programming Questions and Solutions,Gayle Laakmann McDowell,McDowell  Gayle Laakmann,empty,984782850,9780984782857,0,4.32,Careercup,Paperback,708,2015,empty,12/17/2015,own|computer-science|algorithms-data-structures|reference-only,reference-only,12/17/2015
20604592,The Essential Guide to Digital Signal Processing,Richard Lyons,Lyons  Richard,empty,133804429,9780133804423,4,4,Prentice Hall,Paperback,188,2014,6/30/2016,12/16/2015,own|electrical-engineering|signal-processing,read,12/16/2015
23282301,The Liminal War,Ayize Jama-Everett,Jama-Everett  Ayize,empty,1618731017,9781618731012,3,3.66,Small Beer Press,Paperback,224,2015,10/9/2016,11/30/2015,own|fiction|superpowers,read,11/30/2015
14768956,Digital Signal Processing,Thomas J. Cavicchi,Cavicchi  Thomas J.,Cavicchi,471124729,9780471124726,0,0,Wiley,Hardcover,816,1999,empty,11/30/2015,own|signal-processing|electrical-engineering|reference-only,reference-only,11/30/2015
26337200,Intermediate C Programming,Yung-Hsiang Lu,Lu  Yung-Hsiang,empty,1498711634,9781498711630,5,4.33,CRC Press,Paperback,498,2015,6/18/2016,11/20/2015,own|programming-c|computer-science,read,11/20/2015
2178737,Introductory Digital Signal Processing with Computer Applications,Paul A. Lynn,Lynn  Paul A.,B. Thomas,471976318,9780471976318,5,4.2,Wiley,Paperback,496,1998,empty,11/3/2015,own|electrical-engineering|signal-processing|reference-only,reference-only,11/3/2015
26457224,The HIIT Advantage: High-Intensity Workouts for Women,Irene Leris-McCormick,Leris-McCormick  Irene,Irene Lewis-McCormick,1492503061,9781492503064,4,3.14,Human Kinetics Publishers,Paperback,200,2015,12/2/2015,11/2/2015,own|health,read,11/2/2015
7876582,Spartan Warrior Workout: Get Action Movie Ripped in 30 Days,Dave Randolph,Randolph  Dave,empty,1569757917,9781569757918,4,3.84,Ulysses Press,Paperback,128,2010,11/12/2015,11/2/2015,own|health,read,11/2/2015
26272625,Digital Signal Processing Using MATLAB,Robert J. Schilling,Schilling  Robert J.,Sandra L. Harris,1305635191,9781305635197,0,0,CL Engineering,Hardcover,empty,2016,empty,10/23/2015,own|signal-processing|electrical-engineering|reference-only,reference-only,10/23/2015
1758391,Discrete-Time Signal Processing,Alan V. Oppenheim,Oppenheim  Alan V.,Ronald W. Schafer,013216292X,9780132162920,0,3.99,Prentice Hall,Hardcover,879,1989,empty,9/18/2015,own|signal-processing|electrical-engineering|reference-only,reference-only,9/18/2015
10436065,Mathematics for 3D Game Programming and Computer Graphics,Eric Lengyel,Lengyel  Eric,empty,1435458869,8581033777777,0,4.05,Course Technology,Hardcover,545,2011,empty,9/14/2015,own|mathematics|computer-vision|computer-science|linear-algebra|reference-only,reference-only,9/14/2015
24850415,When Life is Linear: From Computer Graphics to Bracketology,Tim Chartier,Chartier  Tim,empty,883856492,9780883856499,4,4.1,Mathematical Association of America,Paperback,140,2015,12/6/2015,8/22/2015,own|mathematics|linear-algebra,read,8/21/2015
13590570,500 Paleo Recipes: Hundreds of Delicious Recipes for Weight Loss and Super Health,Dana Carpender,Carpender  Dana,empty,1592335322,9781592335329,0,3.66,Fair Winds Press,Paperback,336,2012,empty,8/22/2015,to-read|own|health|cooking,to-read,8/20/2015
18601422,Fat Fast Cookbook: 50 Easy Recipes to Jump Start Your Low Carb Weight Loss,Dana Carpender,Carpender  Dana,Amy Dungan  Rebecca Latham,970493126,9780970493125,5,4.11,Carbsmart Publishing,Paperback,102,2013,8/20/2015,8/14/2015,own|health|cooking,read,8/14/2015
11476367,The Art and Science of Low Carbohydrate Living,Jeff S. Volek,Volek  Jeff S.,Stephen D. Phinney,983490708,9780983490708,0,4.21,Beyond Obesity LLC,Paperback,316,2011,empty,8/14/2015,to-read|own|health,to-read,8/14/2015
28645527,Big Java: Early Objects,Cay S. Horstmann,Horstmann  Cay S.,empty,empty,empty,0,4.07,Wiley,Kindle Edition,1040,2015,empty,8/14/2015,own|reference-only|computer-science|programming-java,reference-only,empty
84977,Odd Thomas (Odd Thomas  #1),Dean Koontz,Koontz  Dean,empty,553584499,9780553584493,3,3.93,Bantam Books,Paperback,446,2004,6/13/2016,7/10/2015,own|fiction|horror,read,7/10/2015
6639940,Essential Brazilian Jiu Jitsu,Marc Walder,Walder  Marc,empty,736074880,9780736074889,5,4.08,Human Kinetics Publishers,Paperback,128,2008,8/11/2015,7/4/2015,own|martial-arts|jujutsu,read,7/4/2015
1406119,American Shaolin,Matthew Polly,Polly  Matthew,empty,1592403379,9781592403370,3,3.98,Avery,Paperback,384,2007,7/12/2016,6/27/2015,martial-arts|do_not_own,read,empty
24957636,Secrets of a D-List Supervillain (D-List Supervillian #3),Jim Bernheimer,Bernheimer  Jim,empty,1507540604,9781507540602,0,4.12,CreateSpace,Paperback,196,2015,empty,5/16/2015,own|fiction|sci-fi|to-read,to-read,5/14/2015
22716379,Shattered (The Iron Druid Chronicles  #7),Kevin Hearne,Hearne  Kevin,empty,345548507,9780345548504,0,4.28,Del Rey,Paperback,361,2015,empty,5/16/2015,to-read|own|fiction|fantasy,to-read,5/14/2015
22859781,Skin Game,Jim Butcher,Butcher  Jim,empty,451470044,9780451470041,3,4.55,Roc,Paperback,600,2015,5/23/2015,5/16/2015,own|fiction|fantasy,read,5/14/2015
797103,Simulation Modeling and Analysis,Averill M. Law,Law  Averill M.,W. David Kelton,71165371,9780071165372,0,3.82,McGraw Hill Higher Education,Paperback,empty,2000,empty,5/8/2015,own|mathematics|probability|reference-only,reference-only,5/8/2015
6550987,Digital Image Processing Using MATLAB,Rafael C. Gonzalez,Gonzalez  Rafael C.,Steven L. Eddins  Richard E. Woods,982085400,9780982085400,0,3.98,Gatesmark Publishing,Hardcover,826,2009,empty,5/8/2015,own|signal-processing|electrical-engineering|reference-only,reference-only,5/8/2015
584681,Numerical Methods Using MATLAB,Kurtis D. Fink,Fink  Kurtis D.,empty,130652482,9780130652485,0,3.67,Pearson,Paperback,696,2004,empty,4/10/2015,mathematics|numerical-analysis|own|reference-only,reference-only,4/10/2015
4033698,Numerical Methods That Work,Forman S. Acton,Acton  Forman S.,empty,883854503,9780883854501,0,4.6,Mathematical Association of America (MAA),Paperback,567,1997,empty,4/3/2015,reference-only|own|mathematics|numerical-analysis,reference-only,4/3/2015
1932301,Applied Numerical Analysis Using MATLAB,Laurene V. Fausett,Fausett  Laurene V.,empty,132397285,9780132397285,4,4.25,Prentice Hall,Paperback,673,2007,11/13/2015,3/30/2015,own|mathematics|numerical-analysis,read,3/30/2015
18264530,Big Java Late Objects,Cay S. Horstmann,Horstmann  Cay S.,empty,1118129423,9781118129425,0,3.74,Wiley,Unbound,1056,2012,empty,3/24/2015,own|computer-science|reference-only|programming-java,reference-only,empty
10063680,Starting Out with Java: From Control Structures Through Data Structures,Tony Gaddis,Gaddis  Tony,Godfrey Muganda,321545869,9780321545862,0,4.23,Addison-Wesley Professional,Paperback,1392,2011,empty,3/19/2015,own|reference-only|computer-science|programming-java,reference-only,3/9/2012
300422,Starting Out with Java: From Control Structures Through Objects [With CDROM],Tony Gaddis,Gaddis  Tony,empty,321479270,9780321479273,0,3.97,Addison Wesley Publishing Company,Paperback,987,2007,empty,3/19/2015,reference-only|own|computer-science|programming-java,reference-only,empty
6295541,Child of Fire (Twenty Palaces  #1),Harry Connolly,Connolly  Harry,empty,345508890,9780345508898,0,3.71,Del Rey,Mass Market Paperback,343,2009,empty,2/26/2015,to-read|own|fiction|horror,to-read,2/26/2015
2047820,The Scientist and Engineer's Guide to Digital Signal Processing,Steven W. Smith,Smith  Steven W.,empty,966017633,9780966017632,0,4.49,California Technical Pub.,Hardcover,626,1997,empty,2/26/2015,to-read|own|signal-processing|electrical-engineering,to-read,2/26/2015
18698985,Java How to Program (Late Objects),Paul J. Deitel,Deitel  Paul J.,Harvey M. Deitel,132575655,9780132575652,0,3.84,Pearson,Paperback,1248,2014,empty,2/13/2015,own|computer-science|reference-only|programming-java,reference-only,2/13/2015
19144784,Java: An Introduction to Problem Solving and Programming,Walter J. Savitch,Savitch  Walter J.,empty,133766268,9780133766264,0,3.9,Addison-Wesley Professional,Paperback,989,2014,empty,2/13/2015,own|computer-science|reference-only|programming-java,reference-only,2/13/2015
